nohup: ignoring input
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /app/exercise/get_all_exercise --> github.com/bigby/project/Controllers.ExerciseQuery (5 handlers)
[GIN-debug] POST   /app/exercise/insert_exercise --> github.com/bigby/project/Controllers.ExerciseInsert (5 handlers)
[GIN-debug] PUT    /app/exercise/update_exercise/:id --> github.com/bigby/project/Controllers.ExerciseUpdate (5 handlers)
[GIN-debug] DELETE /app/exercise/delete_exercise/:id --> github.com/bigby/project/Controllers.ExerciseDelete (5 handlers)
[GIN-debug] GET    /docs/*any                --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (5 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/07/22 - 23:17:02 | 200 |     200.976µs |  117.28.251.247 | GET      "/docs/index.html"
[GIN] 2021/07/22 - 23:17:02 | 200 |     244.186µs |  117.28.251.247 | GET      "/docs/swagger-ui.css"
[GIN] 2021/07/22 - 23:17:02 | 200 |   321.87778ms |  117.28.251.247 | GET      "/docs/swagger-ui-bundle.js"
[GIN] 2021/07/22 - 23:17:02 | 200 |  383.491615ms |  117.28.251.247 | GET      "/docs/swagger-ui-standalone-preset.js"
[GIN] 2021/07/22 - 23:17:03 | 200 |     297.498µs |  117.28.251.247 | GET      "/docs/doc.json"
[GIN] 2021/07/22 - 23:17:03 | 200 |    1.830823ms |  117.28.251.247 | GET      "/docs/favicon-32x32.png"
[GIN] 2021/07/22 - 23:17:17 | 200 |      58.556µs |  117.28.251.247 | GET      "/docs/index.html"
[GIN] 2021/07/22 - 23:17:17 | 304 |      36.537µs |  117.28.251.247 | GET      "/docs/swagger-ui-standalone-preset.js"
[GIN] 2021/07/22 - 23:17:17 | 304 |      25.604µs |  117.28.251.247 | GET      "/docs/swagger-ui.css"
[GIN] 2021/07/22 - 23:17:17 | 304 |      27.275µs |  117.28.251.247 | GET      "/docs/swagger-ui-bundle.js"
[GIN] 2021/07/22 - 23:17:17 | 200 |     252.725µs |  117.28.251.247 | GET      "/docs/doc.json"
[GIN] 2021/07/22 - 23:18:39 | 200 |       98.81µs |  222.64.149.132 | GET      "/docs/index.html"
[GIN] 2021/07/22 - 23:18:39 | 200 |     172.592µs |  222.64.149.132 | GET      "/docs/swagger-ui.css"
